key,value
save_dir,triviaqa
save_prefix,interactive
train_dataset,data/squad-wikipedia-train-4096-duplicates.json
dev_dataset,data/squad-wikipedia-dev-4096-duplicates.json
batch_size,1
gpus,1
warmup,1000
lr,3e-05
val_every,0.5
val_percent_check,1.0
num_workers,1
seed,4321
epochs,1
max_seq_len,512
max_doc_len,4096
max_num_answers,64
max_question_len,55
doc_stride,-1
ignore_seq_with_no_answers,False
disable_checkpointing,False
n_best_size,20
max_answer_length,30
regular_softmax_loss,False
test,False
model_path,longformer_model/longformer-base-4096
no_progress_bar,False
attention_mode,sliding_chunks
fp32,False
seq2seq,False
resume_ckpt,None
